Unnamed: 0,UnderlyingPrice,OptionSymbol,Type,Expiration,DataDate,Strike,Last,Bid,Ask,Volume,OpenInterest,T1OpenInterest,IVMean,IVBid,IVAsk,Delta,Gamma,Theta,Vega,AKA,T,Mid,Sigma,BSModel,MCModel,MCSe,BSError,MCError
0,174.09,GS160108C00125000,call,2016-01-08,2016-01-05,125.0,0.0,46.95,50.8,0,0,0,0.0874,0.0,3.1911,1.0,0.0,0.0,0.0,GS160108C00125000,0.00821917808219178,48.875,0.0874,49.19269751578743,49.182458514424965,0.009771739030534575,0.31769751578742955,0.3074585144249653
1,174.09,GS160108P00125000,put,2016-01-08,2016-01-05,125.0,0.0,0.0,0.31,0,0,0,1.9822,0.0,2.2141,-0.015,0.0014,-0.2242,0.0053,GS160108P00125000,0.00821917808219178,0.31,1.9822,0.3339602545957234,0.3413997091170873,0.01565896980789004,0.02396025459572343,0.03139970911708728
2,174.09,GS160108C00130000,call,2016-01-08,2016-01-05,130.0,0.0,41.8,45.8,0,0,0,0.0874,0.0,2.8946,1.0,0.0,0.0,0.0,GS160108C00130000,0.00821917808219178,43.8,0.0874,44.196805416418925,44.18656641505646,0.009771739030534575,0.3968054164189283,0.38656641505646405
3,174.09,GS160108P00130000,put,2016-01-08,2016-01-05,130.0,0.0,0.0,0.31,0,0,0,1.7931,0.0,1.9882,-0.0175,0.0017,-0.231,0.006,GS160108P00130000,0.00821917808219178,0.31,1.7931,0.346757530670903,0.3537741280933087,0.015605722023463182,0.03675753067090298,0.04377412809330872
4,174.09,GS160108C00135000,call,2016-01-08,2016-01-05,135.0,0.0,36.95,40.9,0,0,0,0.0874,0.0,2.648,1.0,0.0,0.0,0.0,GS160108C00135000,0.00821917808219178,38.925,0.0874,39.200913317050436,39.19067431568796,0.009771739030534575,0.2759133170504384,0.26567431568795996
5,174.09,GS160108P00135000,put,2016-01-08,2016-01-05,135.0,0.0,0.0,0.33,0,0,0,1.5624,0.0,1.7887,-0.0179,0.002,-0.2058,0.0061,GS160108P00135000,0.00821917808219178,0.33,1.5624,0.3084208221723541,0.31490747224099885,0.014074197243688753,-0.0215791778276459,-0.015092527759001162
6,174.09,GS160108C00140000,call,2016-01-08,2016-01-05,140.0,0.0,31.75,35.8,0,0,0,0.0874,0.0,2.3219,1.0,0.0,0.0,0.0,GS160108C00140000,0.00821917808219178,33.775,0.0874,34.20502121768192,34.19478221631945,0.009771739030534575,0.4300212176819187,0.41978221631945445
7,174.09,GS160108P00140000,put,2016-01-08,2016-01-05,140.0,0.0,0.0,0.22,0,0,0,1.3428,0.0,1.461,-0.0186,0.0024,-0.1823,0.0063,GS160108P00140000,0.00821917808219178,0.22,1.3428,0.2729316847609171,0.2787806297941415,0.012566771856055453,0.052931684760917114,0.058780629794141476
8,174.09,GS160108C00145000,call,2016-01-08,2016-01-05,145.0,0.0,26.75,30.95,0,0,0,0.0874,0.0,2.0976,1.0,0.0,0.0,0.0,GS160108C00145000,0.00821917808219178,28.85,0.0874,29.209129118313427,29.198890116950956,0.009771739030534575,0.359129118313426,0.3488901169509546
9,174.09,GS160108P00145000,put,2016-01-08,2016-01-05,145.0,0.0,0.0,0.23,0,0,0,1.1126,0.0,1.2704,-0.0179,0.0028,-0.146,0.0061,GS160108P00145000,0.00821917808219178,0.23,1.1126,0.21677175957623085,0.22173859524157224,0.010405820457710817,-0.013228240423769161,-0.008261404758427765
